Time (sec),Rate μcal/sec
2020,-0.005915744143116837
2021,-0.005214058178174666
2022,-0.004872507793273557
2023,-0.0045459630575408125
2024,-0.004219418321808067
2025,-0.0038928735860753226
2026,-0.0035663288503425777
2027,-0.0032397841146098324
2028,-0.003013308575190657
2029,-0.002805893835069284
2030,-0.002598479094947911
2031,-0.0023910643548265375
2032,-0.0021836496147051646
2033,-0.001976234874583792
2034,-0.0020917893346000718
2035,-0.0022984376715781485
2036,-0.0025050860085562244
2037,-0.002711734345534301
2038,-0.002918382682512377
2039,-0.003125031019490454
2040,-0.003118186329340056
2041,-0.00300136038279007
2042,-0.0028845344362400838
2043,-0.0027677084896900973
2044,-0.0026508825431401117
2045,-0.002534056596590125
2046,-0.0025106900470727588
2047,-0.002549629762243829
2048,-0.002588569477414899
2049,-0.00262750919258597
2050,-0.0026664489077570398
2051,-0.00270538862292811
2052,-0.0026355417174170094
2053,-0.0024478426395002314
2054,-0.002260143561583454
2055,-0.0020724444836666767
2056,-0.001884745405749899
2057,-0.0016970463278331211
2058,-0.0016077815586882402
2059,-0.0016544498826092707
2060,-0.001701118206530301
2061,-0.0017477865304513316
2062,-0.0017944548543723622
2063,-0.0018411231782933927
2064,-0.0018929739343470473
2065,-0.001956917032043508
2066,-0.002020860129739968
2067,-0.0020848032274364283
2068,-0.002148746325132889
2069,-0.0022126894228293495
2070,-0.0022373121163220015
2071,-0.0021374201965024446
2072,-0.002037528276682888
2073,-0.0019376363568633314
2074,-0.0018377444370437743
2075,-0.0017378525172242177
2076,-0.0016444167420558476
2077,-0.0015983260276626913
2078,-0.0015522353132695346
2079,-0.0015061445988763782
2080,-0.0014600538844832217
2081,-0.0014139631700900654
2082,-0.001374263474532961
2083,-0.0014346897407399636
2084,-0.0014951160069469663
2085,-0.0015555422731539687
2086,-0.0016159685393609712
2087,-0.001676394805567974
2088,-0.0014248223670300165
2089,-0.0016947822226917033
2090,-0.0016527433736084297
2091,-0.0016107045245251565
